Station_ID,Lon,Lat,Q1,Q2,Q3
A-02,-166.9354686,55.00343766,-1.297046869,-0.710628678,0.024942539
A-03,-166.3381828,54.99262007,-1.354636209,-0.607815528,-0.014904899
A-04,-165.6499918,54.92688827,-1.55695379,-0.605238469,-0.099591906
A-05,-165.1494182,54.99533956,-2.15257402,-0.628019024,-0.038916158
B-01,-167.5497422,55.35825397,-0.063187409,-0.574988829,-0.053014287
B-02,-166.9650737,55.34506723,-0.907053273,-0.653687133,0.077758933
B-03,-166.3428856,55.33827448,-0.735645213,-0.544875787,-0.094685766
B-04,-165.7807137,55.33520012,-1.440945182,-0.477162322,-0.141619302
B-05,-165.1690104,55.31919081,-2.253542424,-0.635251093,-0.004549953
B-06,-164.5575638,55.35824862,-2.327581429,-0.493290032,-0.085813186
B-07,-164.0269006,55.33793826,-2.195646261,-0.501135009,-0.198482656
B-08,-163.4121223,55.33795116,-2.853228082,-0.571501663,-0.08411423
C-01,-167.5855617,55.67225447,-0.751150122,-0.554977046,-0.103561312
C-02,-166.9806721,55.66922197,-0.757804275,-0.443913717,-0.155135278
C-03,-166.3993186,55.68018125,-1.175259844,-0.450041001,-0.162755966
C-04,-165.8060404,55.67756657,-1.099152401,-0.433079501,-0.1911121
C-05,-165.1894357,55.64705971,-1.806401062,-0.525041144,-0.136236483
C-06,-164.5827533,55.65018726,-2.835679482,-0.616027611,-0.000975541
C-07,-164.0124477,55.71017779,-2.590797719,-0.605209825,-0.046519969
C-08,-163.4094899,55.6628478,-2.247029991,-0.533060775,-0.137851501
C-09,-162.8191384,55.67310102,-2.597647728,-0.572421331,-0.146844814
D-01,-167.6083033,56.01525141,-1.393850883,-0.715417902,0.04912303
D-02,-166.9866456,56.05871675,-0.753761258,-0.438744784,-0.115929088
D-03,-166.398664,55.99903857,-1.230505893,-0.49338509,-0.010455282
D-04,-165.7855641,55.9989301,-1.735483118,-0.529040454,-0.101859944
D-05,-165.1588025,55.99911386,-2.039031265,-0.680727708,-0.040198872
D-06,-164.5984442,55.99560291,-2.035024083,-0.5861577,-0.107796174
D-07,-164.0402877,56.00096953,-2.719289264,-0.57368069,-0.056485698
D-08,-163.3761765,56.00745953,-2.554786288,-0.552296673,-0.166489195
D-09,-162.8360637,55.99794233,-2.515680935,-0.600342134,0.033711494
D-10,-162.2735827,55.99491287,-2.678579251,-0.61527109,-0.023177273
D-18,-168.2430589,56.00793474,-0.670900775,-0.865186471,-0.039633363
E-01,-167.6608551,56.34393126,-1.589810101,-0.729603121,0.066439985
E-02,-167.045478,56.32788509,-1.356173142,-0.458980084,-0.138245639
E-03,-166.3995159,56.34154819,-2.227149295,-0.60997505,0.020883185
E-04,-165.812748,56.34057859,-1.452931201,-0.489714691,-0.131883059
E-05,-165.1933229,56.33299756,-2.175716665,-0.545000626,-0.052337898
E-06,-164.5783316,56.33731365,-2.599049907,-0.611766109,0.003850245
E-07,-163.9835355,56.33240159,-2.371713674,-0.535534098,-0.11409594
E-08,-163.4190138,56.33510125,-2.566417959,-0.66128329,-0.192708396
E-09,-162.7928479,56.34673841,-2.52898911,-0.579089604,-0.038617856
E-10,-162.1781931,56.34565414,-2.386353444,-0.763830431,0.080542663
E-11,-161.6146625,56.3326946,-2.317433262,-0.631358561,-0.085710748
E-18,-168.2558305,56.34209397,-1.894927911,-0.782878022,0.037675056
E-19,-168.8841039,56.33610349,-2.0725985,-0.749480825,-0.003540564
E-21,-170.0630713,56.33669097,-1.092388805,-0.545906911,-0.031464075
E-22,-170.6947202,56.33550679,-1.925969305,-0.67296209,-0.068268366
F-01,-167.6801297,56.67174032,-1.680304305,-0.724920011,-0.023822311
F-02,-167.0695941,56.65725826,-2.244665991,-0.564950546,-0.004585377
F-03,-166.4453849,56.66855655,-2.121775363,-0.498366261,-0.115906162
F-04,-165.8652495,56.65495599,-2.525036226,-0.591505341,-0.046441188
F-05,-165.2041442,56.66882025,-2.521870325,-0.597092853,-0.051710549
F-06,-164.6060199,56.66829902,-2.657174471,-0.609696583,-0.05358829
F-07,-164.0012797,56.65386064,-2.541762821,-0.559057172,-0.02564257
F-08,-163.3813447,56.66232694,-2.596031283,-0.580835595,-0.103810588
F-09,-162.7957124,56.68146266,-2.252866842,-0.667679573,-0.013004336
F-11,-161.5985157,56.67162035,-1.817950354,-0.604284656,-0.10047708
F-18,-168.2821439,56.66226365,-2.211398287,-0.728202226,-0.01730044
F-19,-168.9044362,56.66400666,-1.76727555,-0.679383171,-0.098675624
F-20,-169.4967303,56.6662745,-2.533050764,-0.58172548,-0.082804147
F-21,-170.3217806,56.69110505,-1.60459872,-0.573260689,-0.068185552
F-22,-170.7392465,56.67776114,-2.172971306,-0.709890713,0.038559368
F-23,-171.3478987,56.66420884,-2.379728555,-0.60938805,-0.0641508
F-24,-171.9427095,56.65798757,-2.58878416,-0.63351843,-0.028531338
G-01,-167.7048179,56.99948953,-2.250376577,-0.690195446,-0.069894866
G-02,-167.0878221,56.98375611,-3.36921871,-0.693256703,0.09343246
G-03,-166.4357889,57.00988444,-2.566126898,-0.611679351,-0.0051698
G-05,-165.2166387,56.98536984,-2.483447682,-0.539093046,-0.059610181
G-06,-164.6147272,56.99202404,-2.676761606,-0.588535665,-0.031759469
G-07,-164.0168677,57.01541153,-2.642345333,-0.583658615,-0.080932517
G-08,-163.3872671,56.999982,-3.066524337,-0.646038056,0.046703727
G-09,-162.8046393,57.01123692,-1.751938755,-0.546801523,-0.16658375
G-10,-162.1901208,56.99157241,-2.640354326,-0.59223795,-0.040200431
G-12,-160.9511913,56.99977287,-2.486217436,-0.612314687,-0.090962386
G-18,-168.338294,56.99016068,-2.28204337,-0.604193893,-0.047408523
G-19,-168.9398027,57.00778323,-1.972686232,-0.506549365,-0.216343118
G-20,-169.5640722,56.99064863,-2.319604587,-0.673191899,-0.078558206
G-21,-170.1784322,56.99978242,-2.574771392,-0.588909761,-0.084872496
G-22,-170.7842328,56.99051021,-1.97296873,-0.67830473,0.168200325
G-23,-171.3854517,57.00287714,-1.821784637,-0.599903043,-0.073810592
G-24,-172.0250677,57.01185065,-2.027166781,-0.645079911,-0.089946265
G-25,-172.663669,57.00641993,-1.889511973,-0.593475827,-0.047923728
GF1918,-168.6266555,56.82780682,-2.707792556,-0.735668062,0.100053046
GF2019,-169.2984696,56.83599845,-2.252829866,-0.641591823,-0.033408023
GF2120,-169.9139002,56.83698197,-2.344859464,-0.59868935,-0.122614652
GF2221,-170.5130219,56.83962358,-1.283148805,-0.608345733,-0.082148053
H-01,-167.7470365,57.33533888,-2.634023833,-0.720982473,-0.055834786
H-02,-167.1200387,57.32972751,-2.932567699,-0.683824636,0.00312325
H-03,-166.4804681,57.32222208,-2.572963414,-0.608192856,-0.027955687
H-04,-165.8638137,57.33404163,-2.389806377,-0.540556904,-0.054825276
H-05,-165.2373413,57.33851046,-2.818632067,-0.604428494,-0.057610892
H-06,-164.6234448,57.33196211,-2.601177505,-0.548147761,-0.106570971
H-07,-164.0178834,57.34039848,-2.949572403,-0.60759034,0.002015092
H-08,-163.3868186,57.3334363,-2.426380034,-0.551849809,-0.169148419
H-12,-160.9340416,57.33696771,-3.128164586,-0.656190641,0.093756238
H-14,-159.6740093,57.3480406,-2.398993106,-0.585018128,-0.077387482
H-18,-168.3652452,57.33172876,-2.764534558,-0.615194361,-0.012221549
H-19,-168.9840507,57.32911198,-2.46695345,-0.578058112,-0.139990421
H-20,-169.5871822,57.33794582,-1.914179965,-0.469326773,-0.292371369
H-21,-170.2324266,57.33767036,-2.39202751,-0.587965557,-0.109712181
H-23,-171.4657554,57.33066588,-0.161418159,-1.013200862,0.237012132
H-24,-172.1069432,57.32523317,-1.852278852,-0.871419719,0.151969862
H-25,-172.8158755,57.34925851,-0.859595961,-0.815138952,-0.057558443
H-26,-173.3543145,57.33464687,-2.159999477,-0.682325481,-0.01765417
HG1918,-168.6479144,57.16319204,-2.718183461,-0.607321919,-0.018164963
HG2019,-169.323543,57.17295669,-2.320914362,-0.505527107,-0.176137527
HG2221,-170.4717465,57.12107218,-2.493848255,-0.632087399,-0.03748817
I-01,-167.7811236,57.67091391,-2.528024438,-0.558002288,-0.094496024
I-02,-167.1222323,57.65707508,-2.102591561,-0.538797301,-0.097832471
I-03,-166.5132035,57.66614051,-2.642647906,-0.546182866,-0.037373727
I-04,-165.8861958,57.6651544,-3.023273975,-0.633566923,0.015084288
I-05,-165.2606415,57.66055374,-2.908950342,-0.637950139,-0.019135766
I-12,-160.8730172,57.66478966,-2.439578359,-0.510718941,-0.171717536
I-18,-168.4008127,57.65668545,-2.696226065,-0.572329113,-0.074763842
I-19,-169.0192316,57.66427009,-2.513075337,-0.554537754,-0.099516306
I-20,-169.6464138,57.66937533,-3.093349631,-0.628912351,0.066633289
I-21,-170.2725591,57.65115365,-2.484095448,-0.612164912,-0.110280557
I-22,-170.9033015,57.67734667,-2.501598592,-0.612989519,-0.03347778
I-23,-171.5588046,57.6581277,-1.279579119,-1.070037748,0.337895335
I-24,-172.1698019,57.67492193,-0.464813845,-0.498598767,-0.081159717
I-25,-172.8114773,57.6743371,-0.738444456,-0.609208221,-0.065925563
IH1918,-168.7596206,57.50031583,-2.914763808,-0.584047141,-0.03842768
IH2019,-169.3585932,57.49294266,-2.674184789,-0.601825937,-0.105667349
IH2120,-169.9970313,57.50815737,-2.572744702,-0.620677365,-0.073951766
IH2221,-170.5690822,57.52086531,-2.784972081,-0.593556195,-0.05011905
J-01,-167.8115208,57.99313245,-2.657747144,-0.554408334,-0.024502008
J-02,-167.1728865,57.98992025,-2.711200534,-0.57910682,-0.015262654
J-03,-166.5312534,58.0038572,-3.141175914,-0.568618619,0.053001348
J-04,-165.9025137,58.00440666,-2.434102731,-0.512635954,-0.185043807
J-18,-168.4380257,57.99668054,-2.69919459,-0.551623399,-0.082190713
J-19,-169.071186,58.00462848,-2.689811931,-0.632139251,0.018029561
J-20,-169.6917592,57.99536137,-2.570259876,-0.597819389,-0.074971211
J-21,-170.3366647,57.99852492,-2.556425918,-0.602638853,-0.089048823
J-22,-170.9578077,57.9972644,-1.560369596,-0.468772092,-0.112512632
J-23,-171.5933505,57.98950635,-2.288900358,-0.787328824,0.144981172
J-24,-172.244354,58.00419394,-0.377841848,-0.449336138,-0.095087053
J-25,-172.8711783,57.9942562,-1.388368755,-0.643861975,0.028118116
J-26,-173.4717146,58.00269708,-2.058890352,-1.180428965,0.36052428
JI1918,-168.7547904,57.84007129,-2.745553819,-0.601383582,-0.051662367
JI2019,-169.3650246,57.84065412,-3.067231639,-0.626940071,0.065698195
JI2221,-170.6255155,57.83542442,-2.750352124,-0.616836634,-0.041028344
K-01,-167.8341772,58.32608531,-2.225636525,-0.443203651,-0.105835452
K-02,-167.1911719,58.33193894,-2.425469634,-0.527021936,-0.162640253
K-03,-166.5564948,58.33381332,-2.454983911,-0.526817276,-0.189163517
K-18,-168.4752543,58.32461441,-2.342292605,-0.548260713,-0.063956397
K-19,-169.1313885,58.32854291,-2.450981034,-0.572093137,-0.03573667
K-20,-169.746215,58.34301795,-2.274256145,-0.562995478,-0.089369871
K-21,-170.3866778,58.33143619,-2.085736627,-0.627278775,-0.099903048
K-22,-171.0068045,58.35849427,-2.252040943,-0.595786323,-0.01278205
K-23,-171.6426438,58.33503512,-1.094453157,-0.566747074,-0.03037536
K-25,-172.9488732,58.33925356,-0.944696907,-0.54200231,-0.070372918
K-26,-173.5610142,58.34262533,-1.041898128,-1.213312469,0.359903869
L-01,-167.8606808,58.6643314,-2.545097082,-0.554514715,-0.143282896
L-18,-168.4964199,58.66015287,-2.421019252,-0.546573155,-0.171639609
L-19,-169.1641416,58.66331941,-2.46043509,-0.54722102,-0.070293587
L-20,-169.7777526,58.66926215,-2.575908227,-0.597147324,-0.047414113
L-21,-170.4347223,58.6724328,-2.024087936,-0.627859236,0.023686091
L-22,-171.0957317,58.67578355,-1.125100746,-0.48313248,-0.076883361
L-23,-171.7215036,58.65719283,-0.927760352,-0.495401353,-0.050635758
L-24,-172.3737143,58.67380546,-0.765041166,-0.52415573,-0.071822293
L-25,-173.0263742,58.66854776,-0.573736468,-0.495459269,-0.149758593
L-26,-173.6436407,58.67787841,-0.758196704,-0.673771383,-0.065120358
L-28,-174.9550463,58.76282563,-1.91960069,-0.579402696,-0.027518713
L-29,-175.5413431,58.67131521,-1.372630729,-0.571533145,-0.070888132
L-31,-176.8645815,58.66809363,-0.649838761,-0.544331768,-0.162366759
M-18,-168.5293293,58.99635525,-2.586436536,-0.552591358,-0.136100618
M-19,-169.1840277,59.00395342,-2.726884498,-0.581286773,-0.096899281
M-20,-169.8363543,59.00893628,-2.672855891,-0.554222655,-0.09087998
M-21,-170.481727,59.00674441,-1.601874128,-0.564691837,-0.101192588
M-22,-171.1312388,59.00909397,-2.192095715,-0.642011714,-0.050558121
M-23,-171.7930632,59.00264568,-1.047450579,-0.609514648,-0.123650628
M-24,-172.4251451,59.01034277,-0.231709779,-0.56863729,-0.035849651
M-25,-173.0943264,59.0117766,-1.306580005,-0.637800408,0.016120724
M-26,-173.721893,59.00476357,-0.974583844,-0.559213526,-0.074975951
M-27,-174.3875752,59.00733686,-1.633670779,-0.828900117,0.129230989
M-29,-175.7337021,58.99344245,-1.133477956,-0.514837897,-0.085966823
M-31,-176.9639291,58.99550085,-1.239539986,-0.583065872,-0.118107623
M-32,-177.6025073,58.9986206,-1.591533512,-0.674063715,-0.043218183
N-18,-168.5522136,59.33743463,-2.44427677,-0.443093927,-0.175801046
N-19,-169.2270598,59.33862798,-2.690238058,-0.527527488,-0.072582434
N-20,-169.8623703,59.33503384,-2.750429208,-0.62257503,0.037390991
N-21,-170.5599826,59.33219011,-2.438264172,-0.690828472,-0.005427903
N-22,-171.1779506,59.33435483,-1.501621128,-0.560508822,-0.085524175
N-23,-171.8567171,59.33639412,-1.734751753,-0.688375118,-0.120567446
N-24,-172.4859279,59.33172923,-0.656665567,-0.494838911,-0.23783046
N-25,-173.1440201,59.33360933,-0.215758473,-0.497982279,-0.103998958
N-26,-173.7896473,59.33634039,-1.072717137,-0.673475042,-0.003820033
N-27,-174.4309113,59.32703883,-0.153625645,-0.467330808,-0.12100848
N-28,-175.0973466,59.32702314,-1.000685505,-0.535279681,0.031634588
N-29,-175.742274,59.32955103,-0.840105607,-0.517079273,0.006971129
N-30,-176.3723733,59.3296816,-0.710203105,-0.54911659,-0.017052533
N-31,-177.0620251,59.33213886,-0.491120561,-0.467857406,-0.107545995
O-19,-169.2691468,59.66993668,-2.956288212,-0.523230977,-0.0651505
O-20,-169.9382099,59.68219433,-2.453263262,-0.538176153,-0.082208401
O-21,-170.5879731,59.66887765,-2.277665498,-0.605348695,-0.021200811
O-22,-171.255345,59.66115286,-1.478753147,-0.491765333,-0.143449504
O-23,-171.9025891,59.66597099,-1.7730113,-0.605526643,-0.122515137
O-24,-172.5717913,59.66825003,-1.569024727,-0.507770436,-0.093348019
O-25,-173.2407863,59.65351192,-0.742036565,-0.507647098,-0.047922518
O-26,-173.8494615,59.66860223,-0.24473315,-0.580969163,-0.031646293
O-27,-174.4477826,59.67371311,-0.600137949,-0.542045149,-0.077177024
O-28,-175.1049429,59.65671981,-0.621568734,-0.647055019,0.040046807
O-29,-175.8718312,59.66788388,-0.87107763,-0.531962778,0.038610248
O-30,-176.5146704,59.66617644,-1.286244805,-0.582026808,0.035889344
O-31,-177.1366926,59.66212396,-1.678020637,-0.69075159,0.032668127
ON2524,-172.8819123,59.50921052,-1.385380894,-0.550425897,0.021396624
ON2625,-173.487233,59.53508331,-0.848048048,-0.6927903,0.056600178
P-18,-168.6580078,60.00052031,-2.609551504,-0.535007594,-0.136614401
P-19,-169.3335739,60.00948134,-2.433384559,-0.522053241,-0.17289171
P-20,-169.9770379,60.0001796,-2.225034682,-0.515626047,-0.14127652
P-22,-171.313978,60.00017941,-3.020072304,-0.66297576,0.105103683
P-23,-171.9444453,59.9841571,-3.07709267,-0.761762174,0.140535285
P-24,-172.6409422,60.00252215,-2.387211883,-0.648630855,-0.067162061
P-25,-173.3195841,60.00864003,-1.557640153,-0.763731917,-0.037108529
P-26,-173.9359985,60.01000421,-0.429895971,-0.54702676,0.007082147
P-27,-174.6039949,59.99491728,-0.185054767,-0.502416466,-0.072907961
P-28,-175.2716671,60.0079695,-1.175612684,-0.699147026,0.124537852
P-29,-175.9377764,59.990302,-0.360453597,-0.432982827,-0.043644117
P-30,-176.7152011,59.98550267,-0.275076084,-0.447679174,-0.143236128
P-31,-177.2168427,59.99373806,-0.232885619,-0.499446395,-0.147474014
P-32,-177.9139098,60.00732399,-0.664377899,-0.520566195,-0.137578535
PO2423,-172.2528644,59.83744637,-2.395512426,-0.569339902,-0.073565589
PO2524,-172.9007969,59.8263085,-2.016018574,-0.644978865,-0.04105447
PO2625,-173.5831731,59.84224974,-0.539214441,-0.597317111,0.041940022
PO2726,-174.2348894,59.83972768,-0.215511724,-0.489377385,-0.048434731
Q-18,-168.6874361,60.3272244,-3.556321935,-0.488886158,0.135803254
Q-19,-169.3529962,60.32248579,-2.676769918,-0.504401151,-0.090564838
Q-20,-170.0095473,60.33068134,-2.429071306,-0.531230474,-0.185583707
Q-22,-171.3888638,60.33557641,-3.007452878,-0.704816089,0.122112118
Q-23,-172.0660063,60.33158531,-1.744715981,-0.665536084,-0.171616088
Q-25,-173.3786569,60.29577112,-2.602899565,-0.822451189,0.112823613
Q-26,-174.0701792,60.33586097,-1.159811255,-0.649893996,0.148370522
Q-27,-174.7126323,60.33586108,0.04768258,-0.458137635,-0.050303514
Q-28,-175.3985081,60.3356995,-0.061404296,-0.492614522,-0.106498144
Q-29,-176.032241,60.3344636,-1.826511479,-0.667616539,0.023607255
Q-30,-176.7172347,60.33701065,-0.32269365,-0.559864831,-0.046409882
Q-31,-177.3706254,60.32250227,-0.445354572,-0.598093506,-0.029917028
QP2423,-172.3312821,60.16208027,-2.373931703,-0.631803725,-0.05214142
QP2524,-172.9828087,60.15977995,-2.729764524,-0.71611462,0.043372005
QP2625,-173.7780751,60.12937338,-0.151489886,-0.474667182,-0.148021523
QP2726,-174.3558016,60.17382912,-0.239438684,-0.470000818,-0.102013807
R-22,-171.4468054,60.66740979,-3.062926382,-0.697726321,0.166099353
R-23,-172.1338455,60.67576334,-1.832140013,-0.592633902,-0.027588102
R-24,-172.7437508,60.66140379,-2.903199276,-0.6904639,-0.017920591
R-25,-173.4669835,60.69399368,-1.863577453,-0.71238362,-0.062652457
R-26,-174.1229835,60.66657534,0.390272957,-0.417588529,-0.146112026
R-27,-174.7934671,60.66371249,-0.379916239,-0.513344765,-0.040606727
R-28,-175.4466596,60.6650692,-0.351503189,-0.481934945,-0.085181784
R-29,-176.2132625,60.67838428,0.081625461,-0.504442033,-0.202260293
R-30,-176.7995652,60.66818275,0.225108668,-0.490017654,-0.08530719
R-31,-177.5094742,60.67163077,-1.754218324,-0.817871871,0.214209554
R-32,-178.1725309,60.65239744,-1.187054258,-0.650996996,0.006570227
S-22,-171.4912555,60.99720799,-2.49324302,-0.708746204,0.103955978
S-23,-172.1676553,61.00872016,-1.100793877,-0.611784454,-0.069078501
S-24,-172.8272026,60.99686522,-2.917343079,-0.85600554,0.300637697
S-25,-173.521795,60.99550449,-1.210450976,-0.691076135,0.052135937
S-26,-174.1812549,61.00203777,-0.850308956,-0.631410566,0.045718121
S-27,-174.8805838,61.00062842,-0.424219463,-0.54774194,0.050563652
S-28,-175.5559355,61.00538564,-1.363658703,-0.668373504,0.142821813
S-29,-176.2959522,60.99944294,-0.878002324,-0.61423879,0.092849067
S-30,-176.9923099,61.0098161,-0.2690432,-0.544840973,-0.09812422
S-31,-177.6283153,60.99655423,-0.408705872,-0.56582802,0.007367518
T-25,-173.6049278,61.33127448,-0.837100719,-0.856523053,0.072151847
T-26,-174.3283386,61.33131748,-1.929748957,-0.686154937,-0.086433493
T-27,-175.0226261,61.33488991,-1.842671432,-0.709692436,0.092167105
T-28,-175.6219755,61.33040383,0.09683147,-0.418185883,-0.131910363
T-29,-176.2986352,61.34079024,-0.326835672,-0.501764216,-0.059795764
T-30,-176.9774632,61.32789562,-0.306290747,-0.568153788,0.010333855
U-25,-173.6740678,61.66805907,-0.264606551,-0.913558058,0.180316895
U-26,-174.4555385,61.66874499,-1.294290905,-0.568512844,-0.03600314
U-27,-175.0992071,61.68075564,-0.868760239,-0.647013867,0.105899562
U-28,-175.8330194,61.66899079,-0.057235622,-0.581740287,-0.066623504
U-29,-176.4664304,61.66089741,-0.236446839,-0.454814421,-0.01304167
V-25,-173.7573692,62.01352372,-1.425017278,-0.983871279,0.1002874
V-26,-174.5024286,62.00211883,-0.570433997,-0.860271906,0.03611753
V-27,-175.1862141,62.00936456,-0.792327485,-0.67789964,-0.068082987
V-28,-175.8894733,62.01212538,-0.175206873,-0.749190621,0.136237768
