SIZE,YEAR,BOTTOM_DEPTH,GEAR_TEMPERATURE,HAULJOIN,q,numTot,plot,est,se
27.5,--,97,4.3,1,1,1,Z,0.007325751,5.95E-04
32.5,--,97,4.3,1,1,1,Z,0.015242575,8.54E-04
37.5,--,97,4.3,1,1,1,Z,0.028257704,0.001235579
42.5,--,97,4.3,1,1,1,Z,0.045820349,0.001760284
47.5,--,97,4.3,1,1,1,Z,0.06569798,0.002428955
52.5,--,97,4.3,1,1,1,Z,0.085445531,0.003549278
57.5,--,97,4.3,1,1,1,Z,0.10335458,0.005273033
62.5,--,97,4.3,1,1,1,Z,0.119052375,0.007237565
67.5,--,97,4.3,1,1,1,Z,0.133510557,0.008871766
72.5,--,97,4.3,1,1,1,Z,0.148742642,0.00968904
77.5,--,97,4.3,1,1,1,Z,0.165820003,0.009798906
82.5,--,97,4.3,1,1,1,Z,0.184105255,0.00999796
87.5,--,97,4.3,1,1,1,Z,0.20259448,0.010955249
92.5,--,97,4.3,1,1,1,Z,0.220002804,0.012348984
97.5,--,97,4.3,1,1,1,Z,0.234832429,0.013078702
102.5,--,97,4.3,1,1,1,Z,0.245489964,0.012405975
107.5,--,97,4.3,1,1,1,Z,0.251065321,0.012254131
112.5,--,97,4.3,1,1,1,Z,0.252092991,0.017285443
117.5,--,97,4.3,1,1,1,Z,0.249448584,0.027426292
122.5,--,97,4.3,1,1,1,Z,0.244109505,0.040200249
127.5,--,97,4.3,1,1,1,Z,0.237077345,0.054024045
132.5,--,97,4.3,1,1,1,Z,0.229321912,0.067910345
137.5,--,97,4.3,1,1,1,Z,0.229321912,NA
142.5,--,97,4.3,1,1,1,Z,0.229321912,NA
147.5,--,97,4.3,1,1,1,Z,0.229321912,NA
152.5,--,97,4.3,1,1,1,Z,0.229321912,NA
157.5,--,97,4.3,1,1,1,Z,0.229321912,NA
162.5,--,97,4.3,1,1,1,Z,0.229321912,NA
167.5,--,97,4.3,1,1,1,Z,0.229321912,NA
172.5,--,97,4.3,1,1,1,Z,0.229321912,NA
177.5,--,97,4.3,1,1,1,Z,0.229321912,NA
182.5,--,97,4.3,1,1,1,Z,0.229321912,NA